location	chromosome	start	end	bases	gc	mappability	blacklist	residual	use
1:1-100000	1	1	100000	90	42.4522222222222	22.1397	0.979	NA	TRUE
1:100001-200000	1	100001	200000	77.417	43.6105764883682	7.56373	0	NA	TRUE
1:200001-300000	1	200001	300000	40.302	39.1444593320431	9.17357	0	NA	TRUE
1:300001-400000	1	300001	400000	82.281	40.2049075728297	9.00205	0	NA	TRUE
1:400001-500000	1	400001	500000	71.368	45.3718753502971	11.7732	0	NA	TRUE
1:500001-600000	1	500001	600000	78.632	44.7362396988503	15.2361	5.922	NA	TRUE
1:600001-700000	1	600001	700000	100	41.919	8.57236	0	NA	TRUE
1:700001-800000	1	700001	800000	100	44.117	40.8737	2.907	NA	TRUE
1:800001-900000	1	800001	900000	100	56.645	76.7112	0.109	-0.0849905401404483	TRUE
1:900001-1000000	1	900001	1000000	100	62.134	87.3153	0	-0.0204125361223129	TRUE
1:1000001-1100000	1	1000001	1100000	100	60.348	84.9411	0	-0.0222357739794025	TRUE
1:1100001-1200000	1	1100001	1200000	100	61.372	89.2422	0	-0.0497969039801305	TRUE
1:1200001-1300000	1	1200001	1300000	100	63.522	89.5033	0	0.0596096598431145	TRUE
1:1300001-1400000	1	1300001	1400000	100	56.191	76.3105	0	-0.0520856280110872	TRUE
1:1400001-1500000	1	1400001	1500000	100	57.733	68.9409	0	-0.0470472337627114	TRUE
1:1500001-1600000	1	1500001	1600000	100	56.394	72.4253	0	NA	TRUE
1:1600001-1700000	1	1600001	1700000	100	54.508	60.6111	0	NA	TRUE
1:1700001-1800000	1	1700001	1800000	100	47.19	80.5038	0	-0.0224485157697449	TRUE
1:1800001-1900000	1	1800001	1900000	100	55.347	83.9821	0.097	-0.0224200736296633	TRUE
1:1900001-2000000	1	1900001	2000000	100	56.31	85.3913	0	-0.0199532722540445	TRUE
1:2000001-2100000	1	2000001	2100000	100	56.204	88.1553	0	0.0116518980281852	TRUE
1:2100001-2200000	1	2100001	2200000	100	58.005	88.444	0	-0.00954308139031529	TRUE
1:2200001-2300000	1	2200001	2300000	100	59.617	91.3481	0	-0.020187289124549	TRUE
1:2300001-2400000	1	2300001	2400000	100	59.949	95.4058	0	-0.00870734150542701	TRUE
1:2400001-2500000	1	2400001	2500000	100	63.479	95.9752	0	0.00198872218116075	TRUE
1:2500001-2600000	1	2500001	2600000	100	56.884	78.3919	16.666	0.0882039664393238	TRUE
1:2600001-2700000	1	2600001	2700000	50	59.566	31.2671	34.374	NA	TRUE
1:2700001-2800000	1	2700001	2800000	100	57.215	94.2144	0	-0.0498482639657751	TRUE
1:2800001-2900000	1	2800001	2900000	100	57.392	95.7969	0	-0.0356752538585224	TRUE
1:2900001-3000000	1	2900001	3000000	100	54.605	96.6941	0	-0.0906583206147396	TRUE
1:3000001-3100000	1	3000001	3100000	100	58.28	96.2861	0	-0.0266368003772792	TRUE
1:3100001-3200000	1	3100001	3200000	100	56.805	96.1694	0	-0.0258770441445987	TRUE
